feature,direction,phase_compared,C001,C002,C003,C004
ENST00000011653.9,down,post_vs_pre,-1.7201100351747411,-16.159494731926344,-15.872619263304756,-1.0666628447619895
ENST00000011653.9,down,post_vs_pre,-1.7201100351747411,-16.159494731926344,-15.872619263304756,-1.0666628447619895
ENST00000011653.9,down,post_vs_pre,-1.7201100351747411,-16.159494731926344,-15.872619263304756,-1.0666628447619895
ENST00000011653.9,down,post_vs_pre,-1.7201100351747411,-16.159494731926344,-15.872619263304756,-1.0666628447619895
ENST00000011653.9,down,post_vs_pre,-1.7201100351747411,-16.159494731926344,-15.872619263304756,-1.0666628447619895
ENST00000011653.9,down,post_vs_pre,-1.7201100351747411,-16.159494731926344,-15.872619263304756,-1.0666628447619895
ENST00000011653.9,down,post_vs_pre,-1.7201100351747411,-16.159494731926344,-15.872619263304756,-1.0666628447619895
ENST00000011653.9,down,post_vs_pre,-1.7201100351747411,-16.159494731926344,-15.872619263304756,-1.0666628447619895
ENST00000011653.9,down,post_vs_pre,-1.7201100351747411,-16.159494731926344,-15.872619263304756,-1.0666628447619895
ENST00000011653.9,down,post_vs_pre,-1.7201100351747411,-16.159494731926344,-15.872619263304756,-1.0666628447619895
ENST00000011653.9,down,post_vs_pre,-1.7201100351747411,-16.159494731926344,-15.872619263304756,-1.0666628447619895
ENST00000011653.9,down,post_vs_pre,-1.7201100351747411,-16.159494731926344,-15.872619263304756,-1.0666628447619895
ENST00000011653.9,down,post_vs_pre,-1.7201100351747411,-16.159494731926344,-15.872619263304756,-1.0666628447619895
ENST00000011653.9,down,post_vs_pre,-1.7201100351747411,-16.159494731926344,-15.872619263304756,-1.0666628447619895
ENST00000011653.9,down,post_vs_pre,-1.7201100351747411,-16.159494731926344,-15.872619263304756,-1.0666628447619895
ENST00000011653.9,down,post_vs_pre,-1.7201100351747411,-16.159494731926344,-15.872619263304756,-1.0666628447619895
ENST00000011653.9,down,post_vs_pre,-1.7201100351747411,-16.159494731926344,-15.872619263304756,-1.0666628447619895
ENST00000011653.9,down,post_vs_pre,-1.7201100351747411,-16.159494731926344,-15.872619263304756,-1.0666628447619895
ENST00000011653.9,down,post_vs_pre,-1.7201100351747411,-16.159494731926344,-15.872619263304756,-1.0666628447619895
ENST00000011653.9,down,post_vs_pre,-1.7201100351747411,-16.159494731926344,-15.872619263304756,-1.0666628447619895
